Date,Open,High,Low,Close,Adj Close,Volume
2019-05-10,126.139999,128.279999,125.620003,128.009995,125.329552,3720400
2019-05-13,127.019997,127.940002,126.629997,127.160004,124.497360,4297200
2019-05-14,127.559998,128.509995,127.290001,127.410004,124.742126,5150300
2019-05-15,127.099998,129.869995,127.099998,129.350006,126.641510,3751900
2019-05-16,129.369995,130.750000,128.759995,130.270004,127.542244,4812900
2019-05-17,129.919998,130.869995,129.649994,130.509995,127.777206,4011700
2019-05-20,130.039993,130.449997,129.550003,129.990005,127.268105,3965600
2019-05-21,130.580002,130.580002,128.850006,129.050003,126.347794,4080800
2019-05-22,129.100006,130.639999,128.949997,130.070007,127.346436,3588000
2019-05-23,129.600006,130.899994,129.509995,129.970001,127.248528,3901400
2019-05-24,130.330002,130.479996,128.960007,129.500000,126.788361,2702700
2019-05-28,129.500000,129.899994,127.360001,127.629997,124.957512,8806000
2019-05-29,127.580002,128.309998,126.839996,128.169998,125.486206,5502700
2019-05-30,128.149994,128.910004,127.779999,128.610001,125.917000,2710300
2019-05-31,128.000000,128.449997,126.989998,128.000000,125.319771,4191200
2019-06-03,127.860001,129.160004,127.489998,128.979996,126.279243,3588700
2019-06-04,129.750000,129.809998,128.020004,129.070007,126.367371,4242400
2019-06-05,129.220001,131.600006,128.860001,131.389999,128.638794,5084200
2019-06-06,131.080002,132.270004,130.559998,131.979996,130.162506,5528000
2019-06-07,132.839996,134.710007,132.589996,133.470001,131.631989,6332700
2019-06-10,133.179993,133.679993,132.360001,133.589996,131.750336,2957900
2019-06-11,134.059998,134.339996,132.690002,133.199997,131.365707,3553600
2019-06-12,134.009995,134.440002,132.660004,133.139999,131.306534,3302800
2019-06-13,133.449997,133.789993,131.850006,132.940002,131.109299,2851400
2019-06-14,133.009995,133.539993,132.559998,132.729996,130.902176,3291800
2019-06-17,132.720001,133.240005,131.889999,132.520004,130.695084,2725800
2019-06-18,134.419998,134.419998,131.860001,132.059998,130.241409,4378200
2019-06-19,132.059998,133.289993,131.330002,132.850006,131.020538,4349900
2019-06-20,133.869995,134.449997,133.339996,134.160004,132.312500,3847500
2019-06-21,134.160004,134.559998,133.630005,133.960007,132.115250,7696300
2019-06-24,134.649994,135.240005,133.940002,134.139999,132.292770,3685800
2019-06-25,133.979996,134.479996,133.539993,133.809998,131.967300,4176300
2019-06-26,133.059998,133.770004,132.300003,132.320007,130.497833,6024100
2019-06-27,132.250000,132.440002,131.380005,131.690002,129.876495,4750900
2019-06-28,132.279999,132.410004,130.759995,131.130005,129.324219,6318500
2019-07-01,131.990005,132.289993,131.070007,131.869995,130.054016,3544800
2019-07-02,132.089996,132.649994,131.350006,132.429993,130.606308,3233300
2019-07-03,132.979996,134.089996,132.770004,133.990005,132.144836,2859200
2019-07-05,132.889999,133.490005,131.550003,133.020004,131.188187,3356000
2019-07-08,133.100006,133.389999,132.039993,132.559998,130.734528,5854500
2019-07-09,133.000000,133.399994,130.720001,131.740005,129.925827,8233200
2019-07-10,132.399994,134.460007,131.869995,134.410004,132.559052,6141500
2019-07-11,134.210007,134.740005,133.350006,134.350006,132.499878,3944200
2019-07-12,134.000000,134.429993,132.610001,133.279999,131.444611,4481200
2019-07-15,133.600006,134.160004,132.550003,134.149994,132.302628,3077900
2019-07-16,134.080002,135.240005,133.050003,133.800003,131.957458,4019700
2019-07-17,133.919998,134.279999,132.470001,132.779999,130.951492,4105100
2019-07-18,132.610001,133.199997,131.520004,132.880005,131.050125,3698600
2019-07-19,133.169998,133.190002,130.009995,130.089996,128.298538,5022000
2019-07-22,130.490005,130.809998,129.630005,130.279999,128.485916,4411700
2019-07-23,131.130005,132.240005,130.410004,130.740005,128.939590,4145800
2019-07-24,131.199997,131.199997,128.619995,129.210007,127.430664,4669700
2019-07-25,128.630005,129.529999,128.389999,128.990005,127.213692,3335200
2019-07-26,129.440002,131.419998,128.710007,131.220001,129.412979,4580800
2019-07-29,131.500000,132.059998,131.179993,131.529999,129.718704,4533400
2019-07-30,131.339996,132.080002,130.229996,130.479996,128.683167,3367900
2019-07-31,130.479996,130.479996,126.239998,127.809998,126.049934,5757600
2019-08-01,128.960007,129.399994,126.769997,127.139999,125.389160,6199400
2019-08-02,127.099998,128.820007,126.500000,127.919998,126.158417,5573300
2019-08-05,128.350006,129.149994,123.879997,124.400002,122.686897,6192800
2019-08-06,124.779999,127.000000,124.379997,126.449997,124.708664,6258600
2019-08-07,126.400002,128.339996,124.629997,127.779999,126.020348,6149000
2019-08-08,128.100006,129.750000,127.000000,129.470001,127.687073,3702100
2019-08-09,129.710007,129.740005,127.320000,128.600006,126.829063,2929500
2019-08-12,128.449997,129.149994,127.870003,128.350006,126.582504,2920800
2019-08-13,128.279999,130.380005,127.940002,129.929993,128.140732,4088200
2019-08-14,129.520004,130.529999,128.800003,129.119995,127.341888,6232700
2019-08-15,129.660004,131.220001,129.399994,130.720001,128.919876,3701800
2019-08-16,131.419998,132.320007,130.639999,131.759995,129.945541,3405000
2019-08-19,132.070007,132.850006,131.940002,132.570007,130.744385,3101200
2019-08-20,132.800003,133.100006,131.929993,132.059998,130.241409,3160300
2019-08-21,132.910004,133.639999,131.619995,132.339996,130.517548,2936900
2019-08-22,131.750000,132.929993,131.320007,132.660004,130.833145,2484200
2019-08-23,132.449997,133.350006,129.539993,130.270004,128.476074,4239500
2019-08-26,130.820007,133.750000,130.589996,133.740005,131.898285,3954100
2019-08-27,134.199997,135.360001,133.679993,134.759995,132.904221,7187800
2019-08-28,134.500000,135.339996,134.279999,135.190002,133.328308,3972600
2019-08-29,135.610001,136.440002,134.520004,136.020004,134.146881,3045200
2019-08-30,136.110001,137.110001,135.759995,136.729996,134.847092,3742800
2019-09-03,136.350006,137.669998,135.880005,137.460007,135.567047,2989800
2019-09-04,137.809998,139.179993,137.250000,139.149994,137.233765,3201700
2019-09-05,138.800003,138.800003,135.550003,135.979996,135.034180,4994600
2019-09-06,136.929993,137.419998,136.020004,137.369995,136.414505,3051600
2019-09-09,136.399994,136.679993,135.429993,136.399994,135.451248,4062100
2019-09-10,135.740005,136.509995,134.679993,135.860001,134.915024,4175000
2019-09-11,135.270004,136.789993,134.880005,136.360001,135.411545,5005100
2019-09-12,136.740005,138.289993,136.740005,137.289993,136.335068,4146900
2019-09-13,136.080002,136.949997,135.679993,136.440002,135.490982,4008200
2019-09-16,136.389999,136.500000,134.380005,134.880005,133.941833,2953600
2019-09-17,134.960007,136.309998,134.509995,135.699997,134.756134,4013300
2019-09-18,135.809998,136.000000,134.100006,135.500000,134.557526,2647800
2019-09-19,135.410004,135.839996,135.080002,135.479996,134.537659,2804500
2019-09-20,135.000000,135.759995,134.479996,134.710007,133.773026,6671100
2019-09-23,134.960007,135.750000,134.960007,135.440002,134.497940,3346500
2019-09-24,136.250000,136.449997,134.580002,135.360001,134.418503,4798500
2019-09-25,135.210007,135.660004,134.509995,135.089996,134.150375,3579500
2019-09-26,135.869995,136.330002,135.009995,135.720001,134.775986,4309600
2019-09-27,136.240005,136.240005,134.669998,135.600006,134.656830,3559400
2019-09-30,136.070007,137.729996,135.869995,137.100006,136.146393,3705200
2019-10-01,136.929993,137.940002,136.089996,137.369995,136.414505,3638900
2019-10-02,136.889999,137.380005,133.490005,133.940002,133.008377,5728600
2019-10-03,138.440002,139.750000,136.500000,137.929993,136.970612,8829700
2019-10-04,137.839996,140.449997,137.619995,140.279999,139.304276,5278700
2019-10-07,139.289993,139.610001,137.970001,138.339996,137.377762,4273300
